Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Total Pick,Draft Grade,Letter Grade
1 - 4,Ja'Marr Chase,WR,Came and Wentz,289.75,20.7,319.4,24.57,13,4,100.0,A+
1 - 12,Saquon Barkley,RB,Pho_King,252.62,18.04,302.0,23.23,13,12,97.65716758078521,A+
8 - 7,Brock Bowers,TE,Eli,144.05,9.6,205.7,15.82,13,91,91.62708895812908,A-
10 - 4,Chuba Hubbard,RB,Prahlad's Ghost,136.26,9.73,200.2,15.4,13,112,86.8965014543099,B
2 - 9,Derrick Henry,RB,Came and Wentz,225.25,16.09,254.2,19.55,13,21,86.8417942140514,B
16 - 5,Bucky Irving,RB,Partners for What's Possible,112.15,8.01,173.5,13.35,13,185,84.36634799174985,B
4 - 10,Lamar Jackson,QB,PAI Alcoholics Anonymous ,304.57,20.3,321.4,24.72,13,46,84.31512915640181,B
2 - 10,Alvin Kamara,RB,PAI Alcoholics Anonymous ,231.21,16.52,248.3,19.1,13,22,84.15945881606399,B
6 - 6,David Montgomery,RB,19th St Halal Cart,177.45,12.68,214.22,16.48,13,66,81.74268577421327,B-
3 - 10,De'Von Achane,RB,The Golden Receivers,211.18,15.08,230.4,17.72,13,34,81.33579252966115,B-
1 - 11,Jahmyr Gibbs,RB,Team Cogs,238.64,17.05,236.8,18.22,13,11,80.02316409211342,B-
3 - 9,Josh Jacobs,RB,Prahlad's Ghost,216.68,15.48,228.3,17.56,13,33,79.8619299676065,C+
9 - 9,Chase Brown,RB,Prahlad's Ghost,167.04,11.93,201.7,15.52,13,105,79.46881502820669,C+
3 - 8,Josh Allen,QB,Partners for What's Possible,314.54,20.97,303.62,23.36,13,32,79.20425516779953,C+
6 - 12,Joe Burrow,QB,Pennoni Adjacent,280.04,18.67,286.04,22.0,13,72,78.30466320835653,C+
1 - 5,Bijan Robinson,RB,Philadelphia Bills Mafia,292.99,20.93,246.8,18.98,13,5,78.19212316380397,C+
5 - 3,George Kittle,TE,PAI Alcoholics Anonymous ,175.53,11.7,184.0,16.73,11,51,76.52851013557876,C
1 - 9,Justin Jefferson,WR,Prahlad's Ghost,282.52,18.83,235.18,18.09,13,9,76.19698657646569,C
2 - 6,Kyren Williams,RB,19th St Halal Cart,233.06,16.65,222.8,17.14,13,18,76.1848559093538,C
7 - 6,Terry McLaurin,WR,Eli,193.63,12.91,202.8,15.6,13,78,76.03686327607794,C
3 - 12,Joe Mixon,RB,Pho_King,218.77,15.63,212.1,21.21,10,36,75.17360353865037,C
8 - 9,Jaxon Smith-Njigba,WR,Came and Wentz,191.5,12.77,199.2,15.32,13,93,75.14947468317,C
10 - 5,Steelers D/ST,D/ST,Partners for What's Possible,137.59,8.09,137.0,10.54,13,113,75.14055929862847,C
12 - 5,Jayden Daniels,QB,Partners for What's Possible,256.66,17.11,261.76,20.14,13,137,74.82418870763576,C
4 - 2,Jalen Hurts,QB,Team Cogs,315.18,21.01,282.48,21.73,13,38,74.1470742567937,C
4 - 7,James Conner,RB,Eli,177.93,13.69,193.6,14.89,13,43,73.98836171709812,C
1 - 7,Amon-Ra St. Brown,WR,19th St Halal Cart,284.25,18.95,226.18,17.4,13,7,73.68659734692085,C
9 - 5,Brian Thomas Jr.,WR,Philadelphia Bills Mafia,171.72,11.45,182.1,14.01,13,101,72.64258651086716,C-
5 - 11,Trey McBride,TE,Team Cogs,182.39,12.16,177.3,14.78,12,59,72.48968189868853,C-
10 - 10,Jerry Jeudy,WR,PAI Alcoholics Anonymous ,176.85,11.79,183.4,14.11,13,118,72.16850859528427,C-
14 - 5,Ka'imi Fairbairn,K,Partners for What's Possible,137.24,8.07,140.0,10.77,13,161,71.19174948752934,C-
1 - 3,CeeDee Lamb,WR,PAI Alcoholics Anonymous ,317.06,21.14,219.3,16.87,13,3,70.68935575704799,C-
6 - 4,Aaron Jones,RB,Prahlad's Ghost,190.03,13.57,186.5,14.35,13,64,70.13148160447726,C-
2 - 11,Drake London,WR,Daddy's Home,225.73,15.05,197.3,15.18,13,23,70.06354733581809,C-
8 - 3,Tony Pollard,RB,The Golden Receivers,172.92,12.35,178.0,13.69,13,87,69.98179636151144,D+
16 - 2,Eagles D/ST,D/ST,Team Cogs,100.35,5.9,108.0,8.31,13,182,69.90249373865055,D+
12 - 2,Josh Downs,WR,Team Cogs,111.29,8.56,137.6,13.76,10,134,69.56210943102282,D+
12 - 7,Darnell Mooney,WR,Eli,174.13,11.61,174.3,13.41,13,139,69.42148938764463,D+
8 - 5,Courtland Sutton,WR,Partners for What's Possible,189.68,12.65,180.8,13.91,13,89,69.19849042102516,D+
15 - 7,Jordan Mason,RB,19th St Halal Cart,82.6,6.35,115.0,9.58,12,175,68.85618348046144,D+
10 - 2,J.K. Dobbins,RB,Team Cogs,155.58,11.97,166.0,15.09,11,110,68.69065633114124,D+
2 - 2,Garrett Wilson,WR,Team Cogs,251.81,16.79,199.2,15.32,13,14,68.12008480601776,D+
3 - 5,James Cook,RB,Philadelphia Bills Mafia,222.09,15.86,192.7,16.06,12,29,68.07855104773725,D+
12 - 10,Jared Goff,QB,PAI Alcoholics Anonymous ,235.81,15.72,225.0,17.31,13,142,67.71885132215658,D+
12 - 6,Brandon Aubrey,K,19th St Halal Cart,139.13,8.18,133.0,10.23,13,138,67.61477392263582,D+
7 - 8,Najee Harris,RB,Partners for What's Possible,175.11,12.51,171.6,13.2,13,80,67.38467973595387,D+
14 - 1,Lions D/ST,D/ST,Pho_King,117.28,6.9,112.0,8.62,13,157,67.1992567156468,D+
11 - 2,Khalil Shakir,WR,Daddy's Home,153.75,10.25,156.9,13.08,12,122,67.04340465682048,D+
6 - 8,D'Andre Swift,RB,Philadelphia Bills Mafia,180.87,12.92,171.7,13.21,13,68,66.51875079812517,D
13 - 11,Hunter Henry,TE,Team Cogs,111.05,7.4,125.0,9.62,13,155,66.41639980266352,D
12 - 3,Zach Charbonnet,RB,The Golden Receivers,140.02,10.0,150.3,11.56,13,135,66.27440370180098,D
9 - 1,Jayden Reed,WR,Pennoni Adjacent,180.52,12.03,168.1,12.93,13,97,66.226053758357,D
4 - 1,Malik Nabers,WR,Pho_King,222.76,14.85,182.1,16.55,11,37,65.68689467416827,D
9 - 8,Ladd McConkey,WR,Partners for What's Possible,178.49,11.9,163.5,13.62,12,104,65.04307257166167,D
14 - 10,Cameron Dicker,K,PAI Alcoholics Anonymous ,135.6,7.98,125.0,9.62,13,166,64.72580585135381,D
14 - 11,Jake Bates,K,Daddy's Home,132.02,7.77,123.0,9.46,13,167,64.5712815667613,D
1 - 2,Breece Hall,RB,Daddy's Home,289.65,20.69,189.3,15.77,12,2,64.38445702479814,D
10 - 1,Jordan Addison,WR,Pho_King,188.75,12.58,164.8,14.98,11,109,64.16567400934633,D
6 - 7,Kyler Murray,QB,Eli,264.89,17.66,222.88,17.14,13,67,64.09596361350741,D
11 - 6,Rico Dowdle,RB,Eli,148.58,10.61,148.6,12.38,12,126,63.948829977821,D
4 - 8,Zay Flowers,WR,Philadelphia Bills Mafia,216.56,14.44,174.7,13.44,13,44,63.78130247868286,D
10 - 9,Jakobi Meyers,WR,Came and Wentz,175.31,11.69,156.6,14.24,11,117,63.30311919304723,D
4 - 4,DJ Moore,WR,Prahlad's Ghost,223.77,14.92,174.8,13.45,13,40,63.05152074386395,D
13 - 5,Alexander Mattison,RB,Philadelphia Bills Mafia,92.89,6.64,107.5,10.75,10,149,62.19420821560647,D-
4 - 3,Travis Kelce,TE,The Golden Receivers,209.23,13.95,158.3,12.18,13,39,62.13563755287208,D-
8 - 8,Brock Purdy,QB,Philadelphia Bills Mafia,260.37,17.36,211.48,17.62,12,92,61.64832963821447,D-
4 - 6,Cooper Kupp,WR,19th St Halal Cart,218.11,14.54,165.7,18.41,9,42,61.49268564183978,D-
4 - 5,Kenneth Walker III,RB,Partners for What's Possible,212.59,15.19,167.3,16.73,10,41,61.30672797571715,D-
16 - 3,Jason Sanders,K,The Golden Receivers,125.6,7.39,112.0,8.62,13,183,60.83670421651493,D-
3 - 2,Rachaad White,RB,Daddy's Home,225.46,16.1,170.1,14.18,12,26,60.64598735440532,D-
12 - 11,Caleb Williams,QB,Daddy's Home,252.94,16.86,204.34,15.72,13,143,60.44826170211526,D-
8 - 4,Jordan Love,QB,Prahlad's Ghost,207.44,17.29,188.06,17.1,11,88,59.72174715686455,F-
5 - 2,Patrick Mahomes,QB,Daddy's Home,308.91,20.59,217.56,16.74,13,50,59.283840753027235,F-
10 - 8,Jameson Williams,WR,Philadelphia Bills Mafia,161.84,10.79,139.6,12.69,11,116,59.24241528877431,F-
6 - 3,Rhamondre Stevenson,RB,The Golden Receivers,192.0,13.71,154.0,12.83,12,63,59.02040855840551,F-
1 - 6,Tyreek Hill,WR,Eli,299.24,19.95,177.2,13.63,13,6,58.843354958247815,F-
14 - 8,Justin Herbert,QB,Philadelphia Bills Mafia,252.77,16.85,196.96,15.15,13,164,58.5508320372759,F-
6 - 9,David Njoku,TE,Came and Wentz,170.78,11.39,133.9,13.39,10,69,58.41227328275127,F-
5 - 5,George Pickens,WR,Philadelphia Bills Mafia,209.16,13.94,155.4,12.95,12,53,58.333572163149704,F-
14 - 6,Matthew Stafford,QB,19th St Halal Cart,241.73,16.12,191.22,14.71,13,162,58.10318560165755,F-
3 - 3,Nico Collins,WR,PAI Alcoholics Anonymous ,229.86,15.32,156.2,19.52,8,27,57.666050111441535,F-
9 - 7,Pat Freiermuth,TE,19th St Halal Cart,138.12,9.21,119.0,9.15,13,103,57.312048760944094,F-
5 - 1,Mark Andrews,TE,Pennoni Adjacent,188.4,12.56,134.4,10.34,13,49,56.02823197154709,F-
5 - 8,Calvin Ridley,WR,Partners for What's Possible,219.55,14.64,149.0,11.46,13,56,55.229734342404974,F-
9 - 4,Aaron Rodgers,QB,Came and Wentz,266.24,17.75,188.24,14.48,13,100,55.19730846747581,F-
3 - 1,Marvin Harrison Jr.,WR,Pennoni Adjacent,228.14,15.21,150.5,11.58,13,25,55.09678293299102,F-
4 - 12,DK Metcalf,WR,Pennoni Adjacent,225.08,15.01,149.2,13.56,11,48,54.78526502340726,F-
1 - 10,A.J. Brown,WR,The Golden Receivers,260.05,17.34,155.6,15.56,10,10,54.56477640123706,F-
4 - 9,Brian Robinson Jr.,RB,Came and Wentz,178.92,12.78,134.5,13.45,10,45,54.28490887234741,F-
14 - 9,Taysom Hill,TE,Came and Wentz,125.82,8.39,102.34,12.79,8,165,54.16886798548428,F-
2 - 3,Puka Nacua,WR,The Golden Receivers,258.25,17.22,152.3,19.04,8,15,54.01001773442367,F-
2 - 12,Davante Adams,WR,Pennoni Adjacent,234.22,15.61,148.2,14.82,10,24,53.91758463089316,F-
13 - 3,49ers D/ST,D/ST,PAI Alcoholics Anonymous ,142.99,8.41,95.0,7.31,13,147,53.64206723821776,F-
7 - 3,Chris Godwin,WR,PAI Alcoholics Anonymous ,214.17,14.28,137.8,19.69,7,75,53.60490365728548,F-
4 - 11,Jaylen Waddle,WR,Daddy's Home,219.36,14.62,140.6,10.82,13,47,52.601415641217066,F-
2 - 5,Mike Evans,WR,Partners for What's Possible,235.57,15.7,144.0,14.4,10,17,52.58031653149598,F-
5 - 12,C.J. Stroud,QB,Pho_King,277.8,18.52,180.58,13.89,13,60,52.467145720848876,F-
11 - 12,Justin Tucker,K,Pho_King,138.3,8.14,99.0,7.62,13,132,52.43028748595282,F-
8 - 10,DeAndre Hopkins,WR,PAI Alcoholics Anonymous ,177.97,12.71,128.0,9.85,13,94,52.1785177198603,F-
13 - 10,Kirk Cousins,QB,The Golden Receivers,252.04,16.8,171.84,13.22,13,154,52.12743026350353,F-
7 - 11,Austin Ekeler,RB,Team Cogs,173.52,12.39,127.1,11.55,11,83,52.11361964225461,F-
16 - 4,Xavier Legette,WR,Prahlad's Ghost,131.91,8.79,108.4,8.34,13,184,52.04962042857818,F-
16 - 8,Younghoe Koo,K,Philadelphia Bills Mafia,132.39,7.79,96.0,7.38,13,188,52.01541988664025,F-
5 - 7,Tee Higgins,WR,19th St Halal Cart,202.19,14.44,133.1,16.64,8,55,51.98767960221098,F-
13 - 7,Tua Tagovailoa,QB,19th St Halal Cart,241.69,16.11,165.24,18.36,9,151,51.73163172297585,F-
8 - 6,Xavier Worthy,WR,19th St Halal Cart,176.28,11.75,124.2,9.55,13,90,51.44577415803938,F-
16 - 10,Tre Tucker,WR,PAI Alcoholics Anonymous ,126.2,8.41,103.9,7.99,13,190,51.27164224233019,F-
6 - 10,Javonte Williams,RB,PAI Alcoholics Anonymous ,185.3,13.24,128.5,9.88,13,70,51.22530611265349,F-
9 - 6,Rome Odunze,WR,Eli,175.3,11.69,123.0,9.46,13,102,51.129606361244655,F-
15 - 2,Braelon Allen,RB,Daddy's Home,75.44,5.39,75.8,5.83,13,170,50.86196402228602,F-
15 - 5,Bears D/ST,D/ST,Philadelphia Bills Mafia,123.3,7.25,83.0,6.38,13,173,50.70822081388073,F-
15 - 3,Demarcus Robinson,WR,PAI Alcoholics Anonymous ,152.94,10.2,113.3,8.72,13,171,50.51354194809758,F-
1 - 8,Jonathan Taylor,RB,Partners for What's Possible,257.08,18.36,142.2,14.22,10,8,50.10365204726963,F-
16 - 1,Derek Carr,QB,Pho_King,219.63,14.64,150.9,15.09,10,181,49.524023268957905,F-
14 - 4,Chiefs D/ST,D/ST,Prahlad's Ghost,113.49,6.68,77.0,5.92,13,160,49.27455306325904,F-
3 - 6,DeVonta Smith,WR,Eli,225.4,15.03,130.3,13.03,10,30,48.82199349177034,F-
7 - 9,Keenan Allen,WR,Prahlad's Ghost,202.31,15.56,124.1,11.28,11,81,47.79809702308115,F-
6 - 1,Kyle Pitts,TE,Pho_King,167.25,11.15,104.8,8.06,13,61,47.4832987940042,F-
15 - 1,DeMario Douglas,WR,Pennoni Adjacent,164.92,10.99,108.7,8.36,13,169,47.22804625328724,F-
14 - 12,Evan McPherson,K,Pennoni Adjacent,134.43,7.91,85.0,7.08,12,168,46.61994102952584,F-
15 - 11,Jake Moody,K,Team Cogs,131.16,7.72,83.0,8.3,10,179,46.44294234563059,F-
5 - 4,Stefon Diggs,WR,Came and Wentz,227.02,15.13,121.92,15.24,8,52,46.28871805216682,F-
12 - 4,Jake Elliott,K,Prahlad's Ghost,140.67,8.27,86.0,6.62,13,136,46.23655451700738,F-
13 - 9,Isaiah Likely,TE,Prahlad's Ghost,141.91,9.46,93.4,7.78,12,153,46.02107223761994,F-
11 - 9,Jets D/ST,D/ST,Prahlad's Ghost,146.23,8.6,80.0,6.15,13,129,46.004193933815145,F-
14 - 2,Romeo Doubs,WR,Team Cogs,135.21,9.01,94.3,9.43,10,158,45.957759107179704,F-
12 - 8,Dalton Schultz,TE,Philadelphia Bills Mafia,133.16,8.88,89.4,6.88,13,140,45.68414708411631,F-
3 - 7,Sam LaPorta,TE,19th St Halal Cart,209.89,13.99,110.5,9.21,12,31,45.58685785448132,F-
7 - 5,Dallas Goedert,TE,Philadelphia Bills Mafia,152.2,10.15,94.1,10.46,9,77,45.29918156783552,F-
13 - 6,Trevor Lawrence,QB,Eli,250.02,16.67,145.2,14.52,10,150,45.281908915002155,F-
11 - 4,Tyler Lockett,WR,Came and Wentz,170.41,12.17,104.1,8.01,13,124,44.62246748693058,F-
2 - 1,Deebo Samuel Sr.,WR,Pho_King,221.37,15.81,114.5,9.54,12,13,44.073406885257775,F-
16 - 9,Daniel Jones,QB,Came and Wentz,226.12,16.15,135.3,13.53,10,189,44.03079223254035,F-
5 - 6,Tank Dell,WR,Eli,212.01,14.13,112.1,9.34,12,54,43.880158720738535,F-
14 - 7,Harrison Butker,K,Eli,142.67,8.39,80.0,8.89,9,163,43.57756640516357,F-
3 - 4,Michael Pittman Jr.,WR,Came and Wentz,231.1,15.41,113.0,9.42,12,28,42.947859970891564,F-
13 - 2,Saints D/ST,D/ST,Daddy's Home,129.75,7.63,69.0,5.31,13,146,42.60003112382888,F-
9 - 2,Jerome Ford,RB,Daddy's Home,142.89,10.21,89.3,8.12,11,98,41.996186156874735,F-
6 - 2,Amari Cooper,WR,Team Cogs,209.78,13.99,106.1,9.65,11,62,41.965774905514614,F-
11 - 1,Tyler Allgeier,RB,Pennoni Adjacent,141.3,10.09,87.0,6.69,13,121,41.44543135548316,F-
16 - 7,Dontayvion Wicks,WR,Eli,125.85,8.39,78.6,6.05,13,187,40.71323970777127,F-
14 - 3,Cowboys D/ST,D/ST,The Golden Receivers,145.67,8.57,68.0,5.23,13,159,40.304500805532534,F-
6 - 5,Evan Engram,TE,Partners for What's Possible,183.29,12.22,89.5,9.94,9,65,40.01655098532116,F-
8 - 1,Christian Watson,WR,Pho_King,188.7,12.58,94.4,7.87,12,85,39.73858333527177,F-
8 - 11,Jake Ferguson,TE,Daddy's Home,165.73,11.05,84.1,8.41,10,95,39.45533660218313,F-
5 - 10,Anthony Richardson,QB,The Golden Receivers,276.58,18.44,128.74,14.3,9,58,39.35891690191729,F-
15 - 8,Chig Okonkwo,TE,Partners for What's Possible,118.44,7.9,69.7,5.36,13,176,39.24872176497251,F-
13 - 1,Browns D/ST,D/ST,Pennoni Adjacent,153.29,9.02,67.0,5.15,13,145,39.115270067990366,F-
11 - 11,Joshua Palmer,WR,Team Cogs,168.36,11.22,87.2,7.27,12,131,38.94269070703124,F-
15 - 6,Dolphins D/ST,D/ST,Eli,130.96,7.7,62.0,4.77,13,174,38.91320722351806,F-
8 - 12,Jaylen Warren,RB,Pennoni Adjacent,177.72,12.69,89.1,8.1,11,96,38.15241261257269,F-
7 - 12,Zack Moss,RB,Pho_King,155.4,11.1,81.9,10.24,8,84,37.93091525613226,F-
5 - 9,Dalton Kincaid,TE,Prahlad's Ghost,172.29,11.49,81.6,8.16,10,57,37.9066934763964,F-
13 - 12,Rashid Shaheed,WR,Pho_King,159.07,10.6,79.8,11.4,7,156,37.743041540088235,F-
10 - 11,Keon Coleman,WR,Daddy's Home,170.06,11.34,83.7,9.3,9,119,37.449634258050814,F-
2 - 4,Travis Etienne Jr.,RB,Prahlad's Ghost,225.54,16.11,94.5,8.59,11,16,36.95641949885758,F-
10 - 7,Jaleel McLaughlin,RB,Eli,137.83,9.84,74.4,5.72,13,115,36.952299676372206,F-
8 - 2,Dak Prescott,QB,Team Cogs,277.94,18.53,116.52,14.57,8,86,36.17339652375634,F-
13 - 8,Adam Thielen,WR,Partners for What's Possible,171.46,11.43,76.7,12.78,6,152,35.79605602302654,F-
10 - 12,Antonio Gibson,RB,Pennoni Adjacent,141.9,10.92,73.0,5.62,13,120,35.668416939945374,F-
6 - 11,Diontae Johnson,WR,Daddy's Home,208.65,13.91,85.9,7.81,11,71,35.312664833678504,F-
11 - 7,Ravens D/ST,D/ST,19th St Halal Cart,143.74,8.46,57.0,4.38,13,127,35.198695280520326,F-
9 - 10,Devin Singletary,RB,The Golden Receivers,168.44,12.03,75.6,6.87,11,106,34.09858620862216,F-
16 - 11,Kenneth Gainwell,RB,Daddy's Home,77.17,5.51,45.1,3.47,13,191,32.98181295206149,F-
15 - 4,Bengals D/ST,D/ST,Came and Wentz,128.79,7.58,45.0,3.46,13,172,30.526584958934766,F-
2 - 8,Chris Olave,WR,Philadelphia Bills Mafia,246.04,16.4,76.7,9.59,8,20,30.355221604409607,F-
11 - 3,T.J. Hockenson,TE,PAI Alcoholics Anonymous ,130.06,13.01,56.9,9.48,6,123,30.19384526102833,F-
7 - 10,Christian Kirk,WR,The Golden Receivers,205.57,13.7,70.9,8.86,8,82,30.192126602590807,F-
9 - 11,Nick Chubb,RB,Team Cogs,134.19,14.91,61.2,8.74,7,107,29.715923700361436,F-
7 - 1,Rashee Rice,WR,Pennoni Adjacent,209.38,14.96,64.9,16.23,4,73,29.455292315113965,F-
15 - 12,Adonai Mitchell,WR,Pho_King,130.45,8.7,47.96,3.69,13,180,27.434112630492486,F-
3 - 11,Brandon Aiyuk,WR,Team Cogs,222.65,14.84,62.4,8.91,7,35,26.514526330988527,F-
15 - 9,Deshaun Watson,QB,Prahlad's Ghost,259.61,17.31,76.72,10.96,7,177,26.274030973024672,F-
7 - 7,Raheem Mostert,RB,19th St Halal Cart,170.75,12.2,55.3,6.14,9,79,26.250566807563935,F-
12 - 1,Gabe Davis,WR,Pho_King,170.91,11.39,53.9,5.39,10,133,26.204832098164037,F-
12 - 12,Trey Benson,RB,Pennoni Adjacent,123.71,8.84,44.8,3.73,12,144,26.111988758734405,F-
11 - 5,Curtis Samuel,WR,Philadelphia Bills Mafia,166.62,11.11,50.4,4.2,12,125,25.636534593509467,F-
1 - 1,Christian McCaffrey,RB,Pennoni Adjacent,335.78,25.83,47.8,11.95,4,1,25.228740515448315,F-
7 - 4,Tyjae Spears,RB,Came and Wentz,175.48,12.53,51.5,5.72,9,76,24.576325181958598,F-
11 - 8,Mike Williams,WR,Partners for What's Possible,163.2,11.66,45.4,3.24,14,128,24.507438149686024,F-
9 - 3,Ezekiel Elliott,RB,PAI Alcoholics Anonymous ,160.51,11.46,46.1,3.84,12,99,24.11896277444598,F-
9 - 12,Gus Edwards,RB,Pho_King,143.12,10.22,41.7,4.63,9,108,22.717459263542423,F-
15 - 10,Brandin Cooks,WR,The Golden Receivers,155.54,10.37,42.2,7.03,6,178,22.523606550821412,F-
2 - 7,Isiah Pacheco,RB,Eli,232.73,16.62,45.9,11.48,4,19,20.884378217575037,F-
16 - 6,Ja'Lynn Polk,WR,19th St Halal Cart,142.71,9.51,32.7,2.73,12,186,20.15235245849911,F-
10 - 6,Blake Corum,RB,19th St Halal Cart,117.1,8.36,25.3,1.95,13,114,18.614189419277793,F-
13 - 4,Greg Zuerlein,K,Came and Wentz,136.82,8.05,27.0,3.38,8,148,18.54978676342099,F-
12 - 9,Ty Chandler,RB,Came and Wentz,137.18,9.8,27.3,2.1,13,141,18.455245852971395,F-
7 - 2,Zamir White,RB,Daddy's Home,182.67,13.05,29.3,3.66,8,74,15.924774725844397,F-
10 - 3,Jonathon Brooks,RB,The Golden Receivers,140.08,14.01,7.5,2.5,3,111,6.349998467700592,F-
11 - 10,Hollywood Brown,WR,The Golden Receivers,140.36,11.7,0.0,0.0,0,130,1.0,F-
16 - 12,Nick Foles,QB,Pennoni Adjacent,0.0,0.0,0.0,0.0,0,192,,F-
