Round,Team 1,Seed 1,Score 1,LPI 1,Total Points 1,Record 1,Team 2,Seed 2,Score 2,LPI 2,Total Points 2,Record 2,Winner,File Name,Is Bye,LPI Winner,Total Points Winner,Seed Winner,More Wins Winner
Quarter Final,MOTHER MAY I,1,108.04,7,1523.6,9-5-0,Bye,0,-,0.0,0.0,-,MOTHER MAY I,0755 Fantasy Football 2022.xlsx,True,,,,
Quarter Final,Office Director,2,136.5,-5,1478.2,9-5-0,Bye,0,-,0.0,0.0,-,Office Director,0755 Fantasy Football 2022.xlsx,True,,,,
Quarter Final,Brady Gaga,3,115.82,-11,1495.38,8-6-0,MPT Phase1A,6,105,25.0,1498.32,6-8-0,Brady Gaga,0755 Fantasy Football 2022.xlsx,False,False,False,False,True
Quarter Final,Hot Sauce 'n' Bananas,4,78.72,17,1538.78,7-7-0,The Big Hurts,5,122.4,6.0,1482.04,7-7-0,The Big Hurts,0755 Fantasy Football 2022.xlsx,False,False,False,True,
Semi Final,MOTHER MAY I,1,104.06,8,1523.6,9-5-0,The Big Hurts,5,108.8,10.0,1482.04,7-7-0,The Big Hurts,0755 Fantasy Football 2022.xlsx,False,True,False,True,False
Semi Final,Office Director,2,128.16,0,1478.2,9-5-0,Brady Gaga,3,83.44,-8.0,1495.38,8-6-0,Office Director,0755 Fantasy Football 2022.xlsx,False,True,False,False,True
Championship,The Big Hurts,5,76.02,6,1482.04,7-7-0,Office Director,2,93.4,-1.0,1478.2,9-5-0,Office Director,0755 Fantasy Football 2022.xlsx,False,False,False,False,True
Quarter Final,3rd World Immigrant,1,90.24,19,1590.46,9-3-0,Bye,0,-,0.0,0.0,-,3rd World Immigrant,0755 Fantasy Football 2023.xlsx,True,,,,
Quarter Final,"Baby Chark, Juju Juju ",2,75.28,-9,1413.88,9-4-0,Bye,0,-,0.0,0.0,-,"Baby Chark, Juju Juju ",0755 Fantasy Football 2023.xlsx,True,,,,
Quarter Final,Arm Pitts,3,154.92,28,1595.0,8-5-0,MOTHER MAY I,5,62.76,-22.0,1338.94,8-5-0,Arm Pitts,0755 Fantasy Football 2023.xlsx,False,True,True,False,
Quarter Final,Here 4 fun,4,68.62,21,1574.16,8-5-0,Chicken Fried Chicken Meal,6,85.44,-37.0,1363.08,7-5-0,Chicken Fried Chicken Meal,0755 Fantasy Football 2023.xlsx,False,False,False,True,False
Semi Final,3rd World Immigrant,1,123.64,26,1590.46,9-3-0,Arm Pitts,3,100.4,34.0,1595.0,8-5-0,3rd World Immigrant,0755 Fantasy Football 2023.xlsx,False,False,False,False,True
Semi Final,"Baby Chark, Juju Juju ",2,77.3,-13,1413.88,9-4-0,Chicken Fried Chicken Meal,6,71.4,-44.0,1363.08,7-5-0,"Baby Chark, Juju Juju ",0755 Fantasy Football 2023.xlsx,False,True,True,False,True
Championship,3rd World Immigrant,1,115.28,28,1590.46,9-3-0,"Baby Chark, Juju Juju ",2,112,-13.0,1413.88,9-4-0,3rd World Immigrant,0755 Fantasy Football 2023.xlsx,False,True,True,False,
Quarter Final,Killler jatt ,1,102.6,4,1640.04,11-3-0,Bye,0,-,0.0,0.0,-,Killler jatt ,Brown Munde 2023.xlsx,True,,,,
Quarter Final,Still Rollin',2,99.04,31,1706.28,10-4-0,Bye,0,-,0.0,0.0,-,Still Rollin',Brown Munde 2023.xlsx,True,,,,
Quarter Final,Team Padodara,3,130.56,34,1632.56,9-5-0,Eks Gonna Give It To Ya!,6,117.22,-7.0,1587.9,7-7-0,Team Padodara,Brown Munde 2023.xlsx,False,True,True,False,True
Quarter Final,NoHalfSends,4,102.22,34,1653.76,8-6-0,Green,5,99.22,-13.0,1478.98,8-6-0,NoHalfSends,Brown Munde 2023.xlsx,False,True,True,False,
Semi Final,Killler jatt ,1,90.48,-1,1640.04,11-3-0,NoHalfSends,4,113.64,31.0,1653.76,8-6-0,NoHalfSends,Brown Munde 2023.xlsx,False,True,True,True,False
Semi Final,Still Rollin',2,164.58,38,1706.28,10-4-0,Team Padodara,3,148.36,38.0,1632.56,9-5-0,Still Rollin',Brown Munde 2023.xlsx,False,False,True,False,True
Championship,NoHalfSends,4,97.88,29,1653.76,8-6-0,Still Rollin',2,123.88,38.0,1706.28,10-4-0,Still Rollin',Brown Munde 2023.xlsx,False,True,True,False,True
Quarter Final,Hungry Dogs,1,125.34,8,1843.64,11-3-0,Bye,0,-,0.0,0.0,-,Hungry Dogs,EBC League 2021.xlsx,True,,,,
Quarter Final,Pure Mature,2,143.6,10,1807.36,8-6-0,Bye,0,-,0.0,0.0,-,Pure Mature,EBC League 2021.xlsx,True,,,,
Quarter Final,Seigaku FC,3,106.76,27,1836.6,8-6-0,Pleasant Valley Panthers,6,129.3,6.0,1710.14,6-8-0,Pleasant Valley Panthers,EBC League 2021.xlsx,False,False,False,True,False
Quarter Final,Abyss Diamond Eyes,4,92.62,-2,1768.88,7-7-0,Pitman OBJYN,5,105.28,8.0,1713.52,6-8-0,Pitman OBJYN,EBC League 2021.xlsx,False,True,False,True,False
Semi Final,Hungry Dogs,1,140.84,14,1843.64,11-3-0,Pitman OBJYN,5,132.26,10.0,1713.52,6-8-0,Hungry Dogs,EBC League 2021.xlsx,False,True,True,False,True
Semi Final,Pure Mature,2,129.46,9,1807.36,8-6-0,Pleasant Valley Panthers,6,127.82,2.0,1710.14,6-8-0,Pure Mature,EBC League 2021.xlsx,False,True,True,False,True
Championship,Hungry Dogs,1,89.18,9,1843.64,11-3-0,Pure Mature,2,127.9,8.0,1807.36,8-6-0,Pure Mature,EBC League 2021.xlsx,False,False,False,True,False
Quarter Final,Seigaku FC,1,130.54,48,1924.04,12-2-0,Bye,0,-,0.0,0.0,-,Seigaku FC,EBC League 2022.xlsx,True,,,,
Quarter Final,Wut happened uh 🤷🏽‍♂️,2,110.52,-12,1760.26,9-5-0,Bye,0,-,0.0,0.0,-,Wut happened uh 🤷🏽‍♂️,EBC League 2022.xlsx,True,,,,
Quarter Final,The Hungry Dogs,3,134.9,15,1822.06,9-5-0,Riley  Read option,6,114.72,-24.0,1628.82,6-8-0,The Hungry Dogs,EBC League 2022.xlsx,False,True,True,False,True
Quarter Final,Champagne  Papi ,4,160.7,33,1919.74,8-6-0,Pitman MaleManipulator,5,152.86,20.0,1790.5,6-8-0,Champagne  Papi ,EBC League 2022.xlsx,False,True,True,False,True
Semi Final,Seigaku FC,1,114.86,51,1924.04,12-2-0,Champagne  Papi ,4,157.44,39.0,1919.74,8-6-0,Champagne  Papi ,EBC League 2022.xlsx,False,False,False,True,False
Semi Final,Wut happened uh 🤷🏽‍♂️,2,79.26,-22,1760.26,9-5-0,The Hungry Dogs,3,101.36,8.0,1822.06,9-5-0,The Hungry Dogs,EBC League 2022.xlsx,False,True,True,True,
Championship,Champagne  Papi ,4,103.58,40,1919.74,8-6-0,The Hungry Dogs,3,115.7,12.0,1822.06,9-5-0,The Hungry Dogs,EBC League 2022.xlsx,False,False,False,False,True
Quarter Final,Riley  Read option,1,111.16,-14,1723.68,11-3-0,Bye,0,-,0.0,0.0,-,Riley  Read option,EBC League 2023.xlsx,True,,,,
Quarter Final,THE POOL,2,70.04,-9,1793.18,8-6-0,Bye,0,-,0.0,0.0,-,THE POOL,EBC League 2023.xlsx,True,,,,
Quarter Final,Inter Miami CF,3,114.02,28,1833.12,8-6-0,Wut happened uh 🤷🏽‍♂️,6,80.66,-6.0,1746.34,6-8-0,Inter Miami CF,EBC League 2023.xlsx,False,True,True,False,True
Quarter Final,Abyss Diamond Eyes,4,113.74,22,1794.56,7-7-0,Bryson Stott Fan Club,5,134.16,6.0,1771.38,7-7-0,Bryson Stott Fan Club,EBC League 2023.xlsx,False,False,False,True,
Semi Final,Riley  Read option,1,121.28,-10,1723.68,11-3-0,Bryson Stott Fan Club,5,163.5,12.0,1771.38,7-7-0,Bryson Stott Fan Club,EBC League 2023.xlsx,False,True,True,True,False
Semi Final,THE POOL,2,140.4,-8,1793.18,8-6-0,Inter Miami CF,3,105.92,27.0,1833.12,8-6-0,THE POOL,EBC League 2023.xlsx,False,False,False,False,
Championship,Bryson Stott Fan Club,5,100.66,14,1771.38,7-7-0,THE POOL,2,161.92,-3.0,1793.18,8-6-0,THE POOL,EBC League 2023.xlsx,False,False,True,False,True
Quarter Final,Stiff Armed and Dangerous,1,129.66,17,1598.32,10-4-0,Bye,0,-,0.0,0.0,-,Stiff Armed and Dangerous,Game of Yards! 2022.xlsx,True,,,,
Quarter Final,Pain Inflictors,2,105.9,18,1598.4,9-5-0,Bye,0,-,0.0,0.0,-,Pain Inflictors,Game of Yards! 2022.xlsx,True,,,,
Quarter Final,Bhambhwani Pawan Dilip,3,118.62,20,1586.96,8-6-0,Team HebAchi,6,148.44,-4.0,1453.44,6-8-0,Team HebAchi,Game of Yards! 2022.xlsx,False,False,False,True,False
Quarter Final,Wakanda Forever,4,120.58,-7,1532.28,8-6-0,Team CTE,5,87.64,11.0,1520.44,8-6-0,Wakanda Forever,Game of Yards! 2022.xlsx,False,False,True,False,
Semi Final,Stiff Armed and Dangerous,1,152.28,20,1598.32,10-4-0,Wakanda Forever,4,99.46,-6.0,1532.28,8-6-0,Stiff Armed and Dangerous,Game of Yards! 2022.xlsx,False,True,True,False,True
Semi Final,Pain Inflictors,2,97.66,11,1598.4,9-5-0,Team HebAchi,6,103.26,-8.0,1453.44,6-8-0,Team HebAchi,Game of Yards! 2022.xlsx,False,False,False,True,False
Championship,Stiff Armed and Dangerous,1,90.6,24,1598.32,10-4-0,Team HebAchi,6,149.32,-2.0,1453.44,6-8-0,Team HebAchi,Game of Yards! 2022.xlsx,False,False,False,True,False
Quarter Final,Run CMC,1,131.42,36,1598.48,18-10-0,Bye,0,-,0.0,0.0,-,Run CMC,Game of Yards! 2023.xlsx,True,,,,
Quarter Final,Brown Munde,2,119.54,18,1610.14,17-11-0,Bye,0,-,0.0,0.0,-,Brown Munde,Game of Yards! 2023.xlsx,True,,,,
Quarter Final,THE BIGMADBLUE,3,123.82,11,1561.24,17-11-0,Kelce You Again!,9,84.78,32.0,1537.8,13-15-0,THE BIGMADBLUE,Game of Yards! 2023.xlsx,False,False,True,False,True
Quarter Final,Pain Inflictors,4,82.86,0,1551.78,17-11-0,Wakanda Forever,5,77.2,-13.0,1429.38,14-14-0,Pain Inflictors,Game of Yards! 2023.xlsx,False,True,True,False,True
Quarter Final,Bhambhwani Pawan Dilip,6,62.06,-46,1379.72,9-19-0,Team CTE,8,94.8,-30.0,1413.82,10-18-0,Team CTE,Game of Yards! 2023.xlsx,False,True,True,True,True
Quarter Final,Run CMC,1,126.62,43,1598.48,18-10-0,Pain Inflictors,4,141.68,10.0,1551.78,17-11-0,Pain Inflictors,Game of Yards! 2023.xlsx,False,False,False,True,False
Quarter Final,Brown Munde,2,103.58,17,1610.14,17-11-0,THE BIGMADBLUE,3,120.54,12.0,1561.24,17-11-0,THE BIGMADBLUE,Game of Yards! 2023.xlsx,False,False,False,True,
Quarter Final,Team CTE,8,95.84,-31,1413.82,10-18-0,Amon a Mission,10,133.64,1.0,1506.68,13-15-0,Amon a Mission,Game of Yards! 2023.xlsx,False,True,True,True,True
Semi Final,Pain Inflictors,4,108.16,10,1551.78,17-11-0,THE BIGMADBLUE,3,118.78,14.0,1561.24,17-11-0,THE BIGMADBLUE,Game of Yards! 2023.xlsx,False,True,True,False,
Semi Final,Amon a Mission,10,106.4,1,1506.68,13-15-0,Team HebAchi,7,127.68,-7.0,1435.8,12-16-0,Team HebAchi,Game of Yards! 2023.xlsx,False,False,False,False,False
Quarter Final,Team Cogs,1,116.98,46,1640.26,12-2-0,Rizzo's Crash Test Dummy,8,105.4,-6.0,1431.64,6-8-0,Team Cogs,Pennoni Younglings 2022.xlsx,False,True,True,False,True
Quarter Final,The Golden Receivers,2,106.7,30,1553.28,10-4-0,Came and Wentz,7,95.66,-4.0,1453.54,7-7-0,The Golden Receivers,Pennoni Younglings 2022.xlsx,False,True,True,False,True
Quarter Final,19th St Halal Cart,3,93.1,15,1539.04,9-5-0,PAI Alcoholics Anonymous ,6,109.64,34.0,1463.36,7-7-0,PAI Alcoholics Anonymous ,Pennoni Younglings 2022.xlsx,False,True,False,True,False
Quarter Final,Philadelphia British Army,4,136.56,8,1482.64,8-6-0,Book of MoreMoms,5,117.74,0.0,1467.52,7-7-0,Philadelphia British Army,Pennoni Younglings 2022.xlsx,False,True,True,False,True
Semi Final,Team Cogs,1,84.26,46,1640.26,12-2-0,Philadelphia British Army,4,145.68,10.0,1482.64,8-6-0,Philadelphia British Army,Pennoni Younglings 2022.xlsx,False,False,False,True,False
Semi Final,The Golden Receivers,2,96.8,29,1553.28,10-4-0,PAI Alcoholics Anonymous ,6,84.36,31.0,1463.36,7-7-0,The Golden Receivers,Pennoni Younglings 2022.xlsx,False,False,True,False,True
Championship,Philadelphia British Army,4,53.0,1,1482.64,8-6-0,The Golden Receivers,2,27.0,18.0,1553.28,10-4-0,Philadelphia British Army,Pennoni Younglings 2022.xlsx,False,False,False,True,False
Quarter Final,Team Cogs,1,126.36,7,1629.68,11-3-0,I'd_Tap_ That,8,91.48,-14.0,1436.46,6-8-0,Team Cogs,Pennoni Younglings 2023.xlsx,False,True,True,False,True
Quarter Final,19th St Halal Cart,2,131.86,60,1661.48,10-4-0,PAI India Division Manager,7,120.14,29.0,1661.92,6-8-0,19th St Halal Cart,Pennoni Younglings 2023.xlsx,False,True,False,False,True
Quarter Final,Book of MoreMoms,3,105.66,-3,1494.1,9-5-0,The Golden Receivers,6,97.42,2.0,1497.52,7-7-0,Book of MoreMoms,Pennoni Younglings 2023.xlsx,False,False,False,False,True
Quarter Final,PAI Alcoholics Anonymous ,4,110.92,8,1511.42,8-6-0,Bli Erinker,5,116.56,24.0,1606.66,7-7-0,Bli Erinker,Pennoni Younglings 2023.xlsx,False,True,True,True,False
Semi Final,Team Cogs,1,94.76,2,1629.68,11-3-0,Bli Erinker,5,96.82,21.0,1606.66,7-7-0,Bli Erinker,Pennoni Younglings 2023.xlsx,False,True,False,True,False
Semi Final,19th St Halal Cart,2,87.78,58,1661.48,10-4-0,Book of MoreMoms,3,114.42,-3.0,1494.1,9-5-0,Book of MoreMoms,Pennoni Younglings 2023.xlsx,False,False,False,True,False
Championship,Bli Erinker,5,93.18,24,1606.66,7-7-0,Book of MoreMoms,3,139.8,2.0,1494.1,9-5-0,Book of MoreMoms,Pennoni Younglings 2023.xlsx,False,False,False,False,True
Quarter Final,the   jadey bunch,1,119.08,55,1578.12,11-3-0,The Truth Hurts,8,113.3,5.0,1361.56,6-8-0,the   jadey bunch,THE BEST OF THE BEST 2022.xlsx,False,True,True,False,True
Quarter Final,Maid of Honor,2,67.82,-63,1259.32,10-4-0,The  Dream crusher,7,85.14,31.0,1550.78,7-7-0,The  Dream crusher,THE BEST OF THE BEST 2022.xlsx,False,True,True,True,False
Quarter Final,Crazy Kat,3,158.86,44,1574.02,11-3-0,Breece’s  Pieces,6,123.2,23.0,1430.86,8-6-0,Crazy Kat,THE BEST OF THE BEST 2022.xlsx,False,True,True,False,True
Quarter Final,Lucky #13s,4,71.16,-6,1400.58,10-4-0,Wu-Tangs Killabeez,5,103.78,20.0,1499.14,9-5-0,Wu-Tangs Killabeez,THE BEST OF THE BEST 2022.xlsx,False,True,True,True,False
Semi Final,the   jadey bunch,1,105.36,57,1578.12,11-3-0,Wu-Tangs Killabeez,5,90.84,20.0,1499.14,9-5-0,the   jadey bunch,THE BEST OF THE BEST 2022.xlsx,False,True,True,False,True
Semi Final,The  Dream crusher,7,119.46,39,1550.78,7-7-0,Crazy Kat,3,107.48,51.0,1574.02,11-3-0,The  Dream crusher,THE BEST OF THE BEST 2022.xlsx,False,False,False,True,False
Championship,the   jadey bunch,1,67.6,53,1578.12,11-3-0,The  Dream crusher,7,86.42,38.0,1550.78,7-7-0,The  Dream crusher,THE BEST OF THE BEST 2022.xlsx,False,False,False,True,False
Quarter Final,Peter Pan + the Lost Boys ,1,91.7,27,1647.74,10-4-0,the   jadey bunch,8,90.22,9.0,1521.34,6-8-0,Peter Pan + the Lost Boys ,THE BEST OF THE BEST 2023.xlsx,False,True,True,False,True
Quarter Final,The  Dream crusher,2,96.08,10,1595.4,10-4-0,Team Sunshine,7,122.02,21.0,1421.42,7-7-0,Team Sunshine,THE BEST OF THE BEST 2023.xlsx,False,True,False,True,False
Quarter Final,Off Script ,3,88.22,2,1556.32,9-5-0,Crazy Kat,6,77.04,-3.0,1430.84,7-7-0,Off Script ,THE BEST OF THE BEST 2023.xlsx,False,True,True,False,True
Quarter Final,Toon Squad,4,143.94,14,1550.0,8-6-0,Maid of Honor,5,138.74,27.0,1504.96,7-7-0,Toon Squad,THE BEST OF THE BEST 2023.xlsx,False,False,True,False,True
Semi Final,Peter Pan + the Lost Boys ,1,131.92,30,1647.74,10-4-0,Toon Squad,4,96.16,15.0,1550.0,8-6-0,Peter Pan + the Lost Boys ,THE BEST OF THE BEST 2023.xlsx,False,True,True,False,True
Semi Final,Team Sunshine,7,89.3,16,1421.42,7-7-0,Off Script ,3,110.18,-1.0,1556.32,9-5-0,Off Script ,THE BEST OF THE BEST 2023.xlsx,False,False,True,False,True
Championship,Peter Pan + the Lost Boys ,1,158.28,40,1647.74,10-4-0,Off Script ,3,124.3,8.0,1556.32,9-5-0,Peter Pan + the Lost Boys ,THE BEST OF THE BEST 2023.xlsx,False,True,True,False,True
